,precipitation_AWAP,precipitation_SILO,et_morton_wet_SILO,qtot,streamflow_mmd
1975-03-15,0.81564912,0.18884211,2.62084221,0.2874967383659143,0.48661145
1975-03-16,1.97214035,2.5038597,2.36007021,0.3181244254892236,0.52078608
1975-03-17,1.2005614,2.00315793,3.45571937,0.2983296123914701,0.52038181
1975-03-18,0.0391579,0.00231579,1.58428072,0.2259616837077046,0.49563167
1975-03-19,21.93824562,24.95333364,2.5712281,1.390894513302816,0.61858506
1975-03-20,3.33824564,1.65333337,1.78701758,1.2010789033621938,0.92760528
1975-03-21,5.04849122,3.81642113,2.78161404,1.1538527735113768,0.58790006
1975-03-22,0.11957895,0.0,2.84870177,0.8523796646787934,0.55973891
1975-03-23,0.0,0.0,3.2461053,0.6279129943737101,0.52296463
1975-03-24,0.0,0.0,3.42547371,0.4644224929991903,0.50576362
1975-03-25,0.0,0.0,3.53656149,0.3453547487416075,0.48648231
1975-03-26,0.0,0.0,2.84119299,0.2586153761027538,0.47227962
1975-03-27,0.0,0.0,3.49066675,0.1954026876831287,0.47297024
1975-03-28,3.29845614,1.33677196,2.82042105,0.3178852775223605,0.46396126
1975-03-29,0.07066667,0.00161404,2.45564919,0.2411529332491621,0.51370859
1975-03-30,0.33066668,0.44042106,2.77024565,0.1953616336177365,0.50241157
1975-03-31,1.28252631,0.52133334,1.69901759,0.2084808861702447,0.48080573
1975-04-01,9.45080703,12.53642131,1.92694735,0.6622684250087516,0.64807692
1975-04-02,1.05473684,2.17712283,1.6701053,0.5382872132307687,0.52400898
1975-04-03,0.0,0.0,3.04021059,0.3991234490331947,0.49540427
1975-04-04,0.0285614,0.0,2.05600008,0.2986727513143525,0.47709994
1975-04-05,0.09950877,0.0,2.33768427,0.2279900680329164,0.46506457
1975-04-06,13.15284207,13.93894749,2.09712284,0.8732037608360054,0.49281022
1975-04-07,2.28771926,1.06091231,2.9472281,0.7570300415595945,0.64668725
1975-04-08,0.0,0.0,3.01733342,0.5589397831942235,0.48889949
1975-04-09,0.0,0.0,2.9644211,0.4142883927459589,0.47127456
1975-04-10,0.0191579,0.0,3.21677196,0.3094679854087086,0.46316115
